date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:34:35	299/299	---M--	200	added ('OK')	text/plain	etag:W/%2212b-18e09f7ab56%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/robots.txt		(from )
22:34:35	324924/324924	---MCZ	200	added ('OK')	text/html	etag:%224f53c-n58QD1ZqWwNbtx2zxReURUeh5QE%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/	energia-ventosa-websitejks6tc8c9z.codedesign.app/index.html	(from )
22:34:36	47543/47543	---MCZ	200	added ('OK')	text/css	etag:W/%22b9b7-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/css/399f0ffd550e6319.css	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/css/399f0ffd550e6319.css	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:37	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:38	3793/3793	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed1-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/webpack-dcb6fd0bbf31d88d.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/webpack-dcb6fd0bbf31d88d.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:39	86330/86330	---MCZ	200	added ('OK')	application/javascript	etag:W/%221513a-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/main-2bde8bbd115c7241.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/main-2bde8bbd115c7241.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:39	861/861	---M--	200	added ('OK')	application/javascript	etag:W/%2235d-1926e3ea88b%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/framework-acb9ef830b9b8407.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/framework-acb9ef830b9b8407.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:42	850801/850801	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cfb71-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/pages/_app-e02ec8197daca328.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/pages/_app-e02ec8197daca328.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:42	10923/10923	---MCZ	200	added ('OK')	application/javascript	etag:W/%222aab-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/pages/%5B%5B...slug%5D%5D-350370e9daeccacf.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/chunks/pages/[[...slug]]-350370e9daeccacf.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:43	310/310	---M--	200	added ('OK')	application/javascript	etag:W/%22136-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/1tKEUTMe3FWbivS7updAA/_buildManifest.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/1tKEUTMe3FWbivS7updAA/_buildManifest.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:43	77/77	---M--	200	added ('OK')	application/javascript	etag:W/%224d-1926e3ea887%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/1tKEUTMe3FWbivS7updAA/_ssgManifest.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/1tKEUTMe3FWbivS7updAA/_ssgManifest.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
22:34:44	92/92	---M--	200	added ('OK')	application/javascript	etag:W/%225c-1926e3ebeb7%22	https://energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/1tKEUTMe3FWbivS7updAA/_middlewareManifest.js	energia-ventosa-websitejks6tc8c9z.codedesign.app/_next/static/1tKEUTMe3FWbivS7updAA/_middlewareManifest.js	(from https://energia-ventosa-websitejks6tc8c9z.codedesign.app/)
